ID,age,value
1.1.1.1,Benin,789128
1.1.3.1,Benin,1066847
1.1.4.1,Benin,3952450
1.1.5.1,Benin,4125811
1.1.6.1,Nigeria,1642299.66
1.2.1.1,Liberia,265950
1.2.2.1,Benin,2000000
1.2.3.1,Nigeria,4158885.7
1.3.1.1,Benin,4954263
1.3.1.1,Togo,2904100
1.3.3.1,Nigeria,3623813.7
1.3.4.1,Liberia,107000
1.4.1.1,Benin,1915305
1.4.2.1,Benin,1000000
1.4.2.1,Togo,1000000
1.4.3.1,Nigeria,1869128.39
1.5.1.1,Guinea,789128
2.1.1.1,Nigeria,2658083
2.2.1.1,Liberia,2500000
2.2.1.1,Benin,1000000
2.2.1.1,Nigeria,1000000
2.3.1.1,Togo,1002069
2.3.1.1,Nigeria,1000199
2.3.1.1,Nigeria,1805153
2.4.1.1,Nigeria,1851143
3.1.1.1,Regional,1000000
3.2.1.1,Nigeria,3033295.1
3.3.1.1,Regional,3000000
3.3.2.1,Regional,1500000
4.1.1.1,Nigeria,1504077
4.2.1.1,Nigeria,1454581.68
4.3.1.1,Nigeria,4724758.85
5.1.1.1,Nigeria,1590870.05
5.1.1.1,Sierra Leone,530291
5.1.1.1,Benin,250000
5.1.1.1,Liberia,300000
5.1.2.1,Regional,400000
5.2.1.1,Togo,300000
5.2.1.1,Guinea,300000
